2026-01-17 03:55:17,550 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-17 03:55:19,142 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-17 03:55:19,722 - INFO - Phone migrated to 4
2026-01-17 03:55:19,830 - INFO - Reconnecting to new data center 4
2026-01-17 03:55:19,955 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2026-01-17 03:55:19,957 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2026-01-17 03:55:19,958 - INFO - Connecting to 149.154.167.92:443/TcpFull...
2026-01-17 03:55:21,835 - INFO - Connection to 149.154.167.92:443/TcpFull complete!
2026-01-17 03:55:58,499 - INFO - Starting scrape for @lobelia4cosmetics...
2026-01-17 03:55:58,500 - INFO - Starting scrape for @tikvahpharma...
2026-01-17 03:55:58,501 - INFO - Starting scrape for @CheMed123...
2026-01-17 03:56:43,821 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:56:44,704 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:56:46,111 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:56:46,334 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:56:47,744 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:56:49,402 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:56:49,613 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:56:51,279 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:56:51,354 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:56:51,535 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:56:52,184 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:56:53,001 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:56:54,285 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:56:54,329 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:56:54,835 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:56:56,171 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:56:56,294 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:56:56,929 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:56:57,726 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:56:59,499 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:56:59,652 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:57:00,292 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:57:02,241 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:57:02,916 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:57:03,691 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:57:04,286 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:57:05,017 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:57:05,639 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:57:05,957 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 03:57:07,192 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
